Analyzing gantt_view_model.dart...                              

  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2486:7 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2497:33 • undefined_identifier
  error • Undefined name '_showEmptyParentRows' • lib/view_models/gantt_view_model.dart:2498:38 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2499:11 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2500:9 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2502:11 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2503:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2510:11 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2511:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2515:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2517:7 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2520:24 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2522:11 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2526:11 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2526:66 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2526:96 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2527:7 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2528:7 • undefined_function
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2531:9 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2532:7 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2546:26 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2548:9 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2564:24 • undefined_identifier
